발화문,상황
"아니야. 아무것도 손에 안잡혀서, 아무것도 안하고 있어.",sad
이번에는 만나면 진짜 제대로 얘기 한번 해볼라고.,anger
해피가 어제 세상을 떠났어.,sad
그저께 밤 부터 많이 아팠어.,sad
슬럼프가 온 거 같아.,sad
부모님께서도 많이 슬퍼하셔.,sad
그런 건가?,sad
나도 그러고 싶어.,sad
우리 아빠 어제 또 다쳤어.,anger
시간이 없어서 문제지.,sad
괜찮긴 한데 또 술먹고 넘어졌다고.,anger
지장은 없지. 그래도 그런데 항상 술먹고 이렇게 다치는거 지겹다 이제.,anger
일주일에 다섯 번은 먹는다니까? 우리 가족도 모두 포기했어.,anger
이야기 시도해 봤지. 근데 안 되는 걸 어떡해?,anger
나 어떻게 살지? 망했어.,sad
돈이 없어. 돈이.,sad
응. 2주 남았는데 2만원밖에 없어.,sad
"약속 있어서 친구 기다리는데, 아직도 안 왔어.",anger
"반찬 조금 있는데, 그걸로는 부족해.",sad
한 시간 넘게 기다렸어!,anger
가족들한테 돈 빌릴 상황이 아니야.,sad
연락이 안 돼.,anger
어. 항상 그래. 너무 짜증나.,anger
나 요즘 허리가 아픈 거 같아.,sad
룸메가 청소를 잘 안 해. 나만 청소해.,anger
그러게. 다른 사람이 생긴 거 같아.,sad
우리 아빠가 어제 또 다쳤어.,anger
바빠서 시간이 없는데 어떡해.,sad
이직도 계속 생각중이야. 근데 이직할 시간도 없네.,anger
어. 요즘 일할 때 계속 앉아있어서 그런 거 같아.,sad
응 알겠어. 스트레칭 꼭 할게.,sad
털어놓을 사람도 없어.  정말 너무 힘들다.,anger
응. 그 정돈 아니야.,anger
이제 가봐야지. 걱정해줘서 고마워.,sad
"알겠어, 고마워. 너라도 있어서 다행이야.",anger
일주일에 다섯번이나 드셔.,anger
고등학교 동창이었는데 나도 걔가 그렇게 청소를 안하는지는 몰랐어.,anger
그냥. 3년 전에 만났었는데 너무 슬프다.,sad
응. 너가 말한대로 해볼게. 고마워!,sad
한 번도 싸운적은 없었는데.,sad
얼마 되진 않았어.,sad
어제 저녁에 진짜 무서웠어.,fear
다행히 다치진 않았는데 어제 갑자기 지진이 나더라고.,fear
유기견 다큐멘터리 봤는데 책임감 없는 사람들 진짜 너무하더라.,disgust
응 아직도 그대로 있어.,disgust
지금은 좀 진정이 됐어. 어제 정말 무서웠다고 나.,fear
내 친구가 발목을 다치긴 했는데 지금은 괜찮아.,fear
알겠어. 고마워. 다음에 또 보자.,fear
그래야겠다.,disgust
나 결국 헤어졌어.,sad
"그렇기도 하고. 그냥, 막상 키울려면은 신경쓸게 많아지잖아?",disgust
아니 말로만 듣던 지진이 정말 났대니깐?,fear
별로 싸우지도 않았는데 권태기가 온 것 같다고 헤어지자고 했어.,sad
룸메랑 너무 자주 싸우게 돼!,anger
3년 동안 잘 만났었는데 헤어지게 됐어.,sad
아니 쓰레기를 너무 안 치우잖아.,anger
평소에는 아니고 3년동안 싸운적이 한번도 없는데 헤어지게 됐어.,sad
퇴근한지 얼마나 됐다고 회사에서 또 연락왔어.,anger
응. 화내봤는데 효과도 없어.,anger
응. 고등학교 동창이었어.,anger
나 결국 헤어졌어.,sad
"응. 바쁘기도 바쁜데, 쉬는 시간이 없어서 그런가?",sad
그런 거 같애. 무슨 운동을 하는 게 좋을까?,sad
알겠어. 한번 노력해볼게.,sad
응. 아무도 안 치웠어.,disgust
나 면접 또 떨어졌어.,sad
어. 아무도 안 치워가지고 정말 그대로 있어!,disgust
응. 많이 놀랐어.,disgust
우리 아빠 어제 또 다쳤어.,anger
"나 내일 약속 있는데, 그대로 나가도 될까?",fear
술 먹고 집 오다가 계단에서 굴렀대.,anger
나 어떻게 살지? 망했어.,sad
그거 괜찮다.,disgust
돈이 너무 없어서 너무 힘들어.,sad
"이게 내 마지막 희망이었는데. 아, 진짜 어떡하지.",sad
더 심해지면은 한달동안 못 만나는 건데?,fear
응. 내가 말 해볼게.,disgust
아니 아직 얘기 못했지.,sad
"나 요즘 허리가 너무 아픈 것 같아, 정말.",sad
해도 말 안 들어. 그래서 그냥 포기했어.,anger
"요즘 오래 앉아있기도 하고. 허리가 계속 아파지네, 점점.",sad
하나도 없다. 알바라도 해보려고.,sad
이번 기회에 병원 좀 갔다 올려고. 허리 뿐만 아니라 온몸이 쑤시는 거 같애!,sad
지금 방 계약 기간 끝나면은 그것도 고려해봐야겠어.,anger
"그게 좋겠다. 충고 고마워, 이모카.",sad
"근데 가족들도 좀 어려운 상황이라, 도움 요청하기가 좀 그렇다.",sad
알겠어. 좀 아쉽지만 그렇게 해볼게.,fear
도움을 청해도 못 도와주실 것 같아.,sad
알겠어. 그렇게 스트레칭 맨날 해야겠다. 고마워.,sad
나 요즘 허리가 아픈 거 같아.,sad
약속 있어서 기다리고 있는데 친구가 안와.,anger
맞아. 앉아서 일을 많이 해.,sad
한시간 기다렸는데 연락이 안돼.,anger
계속 했는데 안 받아.,anger
바빠서 못 갔어.,sad
엄청 자주 그래. 아니 맨날 그래.,anger
나 면접 또 떨어졌어.,sad
"알겠어. 고마워, 이모카.",sad
해봤나? 잘 모르겠어. 해야할 거 같아.,anger
이제 막 집에 도착했지.,sad
나 어떻게 살지? 망했어.,sad
요즘 괜히 우울한 기분이야.,sad
그렇지. 부모님한텐 너무 죄송하다.,sad
"되는 일도 없고, 그냥 하루하루가 힘들어.",sad
나는 잘하는게 없나봐.,sad
아직 이야기는 안 드렸어.,sad
생활비 들어올라면은 2주나 남았는데 통장에 2만 원 밖에 안 남았네.,sad
"유기견 다큐멘터리 봤는데, 책임감 없는 사람 진짜 너무 많더라.",disgust
대충 먹으려고.,sad
어. 맨날 앉아 있어. 디스크가 문제인가봐.,sad
전혀 없지. 냉장고에도 반찬도 없고. 내 인생은 망했어 지금.,sad
"그냥 예뻐서 샀는데, 좀 더 크고 이러니까 그냥 막 버리더라고.",disgust
집에 먹을 것도 없다니까! 혹시 돈 좀 빌려줄 수 있니?,sad
응. 기획안 열심히 준비해갔는데 상사한테 다 깨졌어.,sad
야 아냐아냐. 병원에 가면은 진짜 엄청 아프대. 이거 지금보다 더 아프대.,sad
근데 처음부터 다시 하래.,sad
가족한테 말한다면 난 정말 죽을거야 이제.,sad
나 진짜 너무 슬프다.,sad
어제 해피가 세상을 떠났어.,sad
아 요즘 시간이 없는데. 아유 그거 너무 걱정이다.,sad
그러게 감기 걸려서 아직 몸도 안좋은데. 퇴근은 못할 것 같아 일찍.,sad
모르겠어. 맨날 무기력해.,sad
"15년 동안 살아서 오래 살긴 했는데, 갑자기 의식을 잃고 쓰러졌어.",sad
해야 할 일이 너무 많아서 일찍 퇴근도 못할 거 같애.,sad
어우 정말 몸이 아프니까 마음까지 다 힘들어.,sad
그런 걸지도.,sad
가족들 다 슬퍼하고 있어.,sad
알고는 있지만 내가 일을 잘 못하는 거 같애.,sad
알겠어. 고마워 이모카.,sad
곧 할 거 같애.,sad
나 내일 약속있는데 그대로 가도 될까?,fear
그렇지 뭐.,sad
괜히 매일 우울한 기분이야.,sad
많아가지고 제대로 먹지도 못하고 씻지도 못하는 것 같아.,disgust
밖에서 뭐하고?,sad
학교 근처 식당인데 요즘 전염병이 돌아서 너무 무서워.,fear
요즘 나 슬럼프에 빠진 것 같애. 하던 프로젝트도 잘 안 되고.,sad
괜히 매일 우울한 기분이야.,sad
너무 불쌍해.,disgust
"걸 수도 있는데, 요즘 되는 일이 없네 정말.",sad
계약 관련 약속이라서 미루긴 좀 그래. 나 괜찮을까?,fear
일 다 마치고 할려면은 그렇지 않을까?,sad
나 어떻게 살면 좋지? 망했어.,sad
요새 하던 일도 다 안되고. 나 슬럼프인 거 같애.,sad
"유기견 다큐멘터리를 봤는데, 책임감 없는 사람들 정말 심하더라.",disgust
차라리 그렇게 조금 슬럼프를 극복해봐야겠어.,sad
나는 잘하는게 없나봐.,sad
어떻게 살지? 완전 망했어.,sad
당장 쓸 돈이 2만 원 밖에 안 남았어.,sad
돈이 없어.,sad
응. 사장님한테 완전 혼났어.,sad
잘 모르겠어. 어떻게 해야될까?,sad
그래야겠어. 너도 몸 조심하고.,fear
해피가 어제 세상을 떠났어.,sad
어. 가족들도 도와줄 수가 없대.,sad
점점 늘어나고 책임감 없는 사람들이 계속 버려서 그런 것 같아.,disgust
취미 괜찮다. 추천해줄만 한 거 있어?,sad
괜찮아진줄 알았는데 그렇게 됐어.,sad
도와줘서 고마워.,sad
냉장고에 조금.,sad
안괜찮지. 나도 그렇고.,sad
나 내일 약속 있는데 그대로 가도 될까?,fear
가족들도 요새 많이 힘들어.,sad
"날 못 하는데, 일찍 퇴근은 무슨.",sad
맞아. 책임감이 없으면 키우질 말아야지. 사람들이 너무 나쁜 거 같아.,disgust
요즘 신종 코로나 바이러스가 유행이잖아. 그거 때문에 너무 걱정이야.,fear
"알긴 알지만, 그래두.",sad
"유기, 유기견 다큐멘터리 봤는데, 진짜 양심 없는 사람들 너무하더라.",disgust
"오래 전부터 해왔던 약속이라 미루긴 좀 어려운데, 그래도 좀 조심하는 게 좋겠지?",fear
"유기견에 관한 내용이었는데 사람들이 막, 키우던 동물을 버리더라고. 길바닥에.",disgust
응. 고마워. 한동안은 진짜 우울할 거 같애.,sad
몰라. 내가 싫어졌대 그냥.,sad
그런 거 같다. 양심 없는 사람들이 너무 많아.,disgust
나 내일 약속 있는데 그대로 가도 될까?,fear
알겠어. 고마워. 친구도 충분히 이해할거야.,fear
"유기견 보호 시설도 되게 많아지고 있는데, 근데 유기견이 너무 많아서 아직 부족한 상황이래.",disgust
하던 프로젝트도 잘 안풀리고. 그러니까 기분이 쳐진다.,sad
"나 내일 약속 있는데, 그대로 가도 될까?",fear
집에서 좀 멀리 가야 돼. 근데 거기 감염자가 되게 많대. 가도 될까?,fear
"아니, 싸운적 없었어. 그런데 갑자기 이러네.",sad
청소도 안 하고 너무 더러워.,anger
한 달 정도 된 것 같아.,sad
다큐멘터리 봤는데 책임감 없는 사람들 정말 너무하더라!,disgust
고등학교 동창이야.,anger
기다리고 있다니까?,anger
결국 헤어졌어.,sad
그러고 싶어.,anger
어디서 만나는 게 제일 안전할까?,fear
요즘 반려견을 버리는 사람들이 너무 많은 거 같애.,disgust
잘 있다가 슬슬 권태기가 오더라고. 근데 서로 힘들어서 그냥 헤어지기로 했어.,sad
알겠어. 한 번 얘기해볼게.,fear
걔 지금 연락도 안 받아.,anger
나 룸메랑 자꾸 싸우게 되네.,anger
도 좋을 것 같애.,fear
룸메가 자꾸 청소를 안 해. 너무 드러워.,anger
내일 약속이 있는데 그대로 가도 될까?,fear
사실 보호 시설들도 마땅치가 않나봐. 계속 늘어나는 마당에.,disgust
고마워. 이모카.,fear
그렇게 책임감이 없으면 아예 처음부터 키우지를 말던가!,disgust
그게 최근에 바이러스가 퍼졌다는 그 강남이야.,fear
"우리 서로 되게 잘 맞았었는데, 너무 슬프다.",sad
"안 냈고, 같이 청소하자고는 해봤지, 여러번.",anger
"아, 다음으로 미룰까 싶기도 하다.",fear
헤어진지 얼마 안됐어. 이제 한 일주일 정도?,sad
"그래도 안전이 중요하니까, 약속장소를 옮겨야겠어. 진짜로.",fear
"청소 때문이지, 뭐.",anger
유기견 보호 시설이 너무 안 좋아.,disgust
"우리 아빠, 어제 또 다쳤다.",anger
하. 집에도 가기 싫고 그냥 걸어가는 중. 걷고 있는 중.,sad
맞아. 키우지도 못할거면 왜 키우는지 정말 모르겠어.,disgust
"그럴 거 같긴 한데. 어휴, 하루 이틀이어야지, 술 먹고 그러는게.",anger
많이 안 좋아.,disgust
강아지들이 밥도 못 먹고 병에 걸려서 그렇게 있더라고!,disgust
이게 마지막이었어. 어떡하지?,sad
응. 근데 자주 먹는 거 보단 술 주정이 문제야.,anger
밥 별로 안 먹고 싶어.,sad
우리가족 지금 거의 다 포기했어.,anger
나 결국 헤어졌어.,sad
시설도 얼마 없는데다가 엄청 열악하기도 하드라.,disgust
오래 사겼었는데 결국 권태기가 왔지 뭐야.,sad
그것까지는 잘 모르겠어.,disgust
"아니, 퇴근한지 얼마나 됐다고 회사에서 연락이 또 왔어, 지금!",anger
"그니까! 그만 두든가 해야지 진짜, 이씨!",anger
나는 잘하는게 없나봐.,sad
나 결국 헤어졌어.,sad
그렇긴 한데 할 데가 없다.,anger
응. 아주 제대로 혼났어.,sad
권태기인가봐.,sad
"아니. 거기서 거기야, 다.",anger
응. 같이 나가서 쉴래?,sad
그래. 고마워. 너라도 있어서 다행이야.,anger
술 마시고 넘어졌어. 지금은 병원에 있어.,anger
나 결국에 헤어졌어.,sad
혼났는데 어떻게 퇴근하냐. 눈치 보여가지고 못해.,sad
내 룸메가 너무 방을 청소를 안 한다니까?,anger
생명엔 지장이 없어.,anger
"아니, 싸운 적 없었어.",sad
내 잘못이야.,sad
일주일에 다섯 번 마셔.,anger
내가 한 번 주의를 줬는데 또 그러네?,anger
예전에 해봤지. 근데 다 포기했어.,anger
"아니 평소에는 마음이 잘 맞았는데, 갑자기 헤어졌어!",sad
나 어제 저녁에 진짜 무서웠어!,fear
아휴 이제 2주일 다 돼가.,sad
안 다쳤는데 내 친구가 다친 거 있지?,fear
"방금 퇴근했는데, 회사에서 연락 또 왔어!",anger
고마워. 이제 좀 바람쐬러 나가려고.,sad
어 나는 괜찮아. 지진 겪어본 적 있어?,fear
"못다니겄어, 못다니겄어 진짜!",anger
응. 떠나고 싶어.,anger
아니. 이러다 내가 죽을 거 같애.,anger
우리 해피가 어제 세상을 떠났어.,sad
아니 친군 다쳤고 와 진짜 무섭더라?,fear
아니. 거기 직원들 다 별로야!,anger
원래 나이를 좀 많았었잖아.,sad
응 그래야지.,fear
솔직히 잘 모르겠어. 내가 정말 이쪽에 재능이 없는 거 같기도 해.,sad
"우리 상사가 나한테 일만 주는데, 그 사람한테 이야기 해봐야 될 거 같애.",anger
응. 해피한테 해줘야지.,sad
요즘에 룸메랑 너무 자주 싸우게 돼.,anger
아니 걔가 청소를 안한다니까 청소를?,anger
몰라. 계속 다니긴 해야지.,anger
"아 처음에는 말을 들었거든? 그런데, 다시 청소를 안 해.",anger
해피가 어제 세상을 떠났어.,sad
근데 요즘 직장 구하기가 쉽지가 않잖아.,anger
"어디가 막 아픈건 아니고, 그냥 꽤 오래 살아서 죽은 거 같애.",sad
어제 저녁에 진짜 무서웠어.,fear
"동기들 있긴 한데, 잘 모르겠다.",anger
마음만 같아서는 그러고 싶어. 진짜.,anger
우리 어머니가 제일 슬퍼하시는 거 같애.,sad
1학년 때 동아리에서 만났었었지.,sad
알겠어. 고마워.,anger
아니. 아직도 너무 무서워.,fear
아니. 그냥 갑자기 권태기래.,sad
두 달 정도 된 거 같아.,sad
벌써 한시간째 기다리고 있어 지금.,anger
알겠어. 고마워 이모카.,fear
응. 근데 조금 무서워.,fear
하 원래 연락을 잘 안해. 집에 갈까?,anger
고마워. 니가 나한테 많은 도움이 됐어.,sad
어 완전 상습범이야. 맨날맨날 그래 맨날.,anger
어! 나 면접 또 떨어졌어.,sad
응. 그럴려고.,fear
어제 저녁에 진짜 무서웠어.,fear
면접 보고 집에 가는 길이야.,sad
아우 이제 더 준비할 회사도 없어.,sad
친구가 발목을 다쳤어.,fear
우리 아빠가 어제 또 다쳤어.,anger
아휴. 내가 부모님한테 이걸 어떻게 말씀드리니.,sad
걔는 너무 더러워.,anger
"아니, 기분이 너무 안 좋아서 밥도 못 먹었어.",sad
"우리 아빠, 어제 또 다쳤어.",anger
술먹고 넘어지셨어. 지금 병원에 계셔.,anger
당연히 해봤지. 근데 똑같애. 결국.,anger
"응. 그 정도는 아닌데, 그래도 너무 속상해.",anger
응. 근데 이게 하루 이틀이어야지.,anger
"고등학교 때부터 친했던 앤데, 이렇게 더러울 줄 알았나.",anger
어. 일주일에 다섯 번은 먹는 것 같아.,anger
확진자가 나온 강남이야.,fear
응. 자주 드셔.,anger
"다행히 크게 다치진 않았고, 지금 발목이 좀 삐인 상태야.",anger
도저히 말을 안 들으셔.,anger
"퇴근한지 얼마나 됐다고 또 전화왔어, 지금.",anger
그런 거 같애.,anger
나 면접 또 떨어졌어.,sad
몰라. 나도 다니기 싫은데 어떡해.,anger
자주 드시는데 좀 많이 드시는게 문제인 것 같아.,anger
뭘 고생해. 이제 집이지.,sad
하. 이게 또 쉬운게 아니다.,anger
늘 하려고 하지. 근데 말을 잘 안들으시는 거 같애.,anger
모르겠어. 난 틀린 거 같아.,sad
응. 물 마시고 갔다 와야겠어.,disgust
말씀 드려야지.,sad
약속 있어서 친구 기다리고 있는데 아직도 안왔어.,anger
어제 저녁에 진짜 무서웠어.,fear
해봤지. 근데 아직도 안 받아.,anger
난 안 다쳤는데 친구가 다쳤어.,fear
병원에 다녀왔대. 괜찮은 것 같아.,fear
나는 잘 하는게 없나봐.,sad
어. 다른 사람들은 괜찮은 거 같은데 너무 정신 없고 무서웠어.,fear
응. 또 혼 났어.,sad
"응, 그럴려고. 걱정해줘서 고마워.",fear
아니야. 일 마저 마무리 해야 돼.,sad
나 어떻게 살지? 망했어.,sad
돈도 없는데 먹을 것도 없어.,sad
그렇게 생각해보려고.,sad
가족들도 형편이 좋은 편이 아니라서. 모르겠다.,sad
우리 해피가 죽었어.,sad
응급실 가서 괜찮아질줄 알았는데 죽었어.,sad
나 요즘 허리가 좀 아픈 것 같아.,sad
"엄마 아빠도 너무 슬퍼하시고, 집도 우울해.",sad
해피가 어제 세상을 떠났어.,sad
그런가봐. 요즘 좀 오래 앉아 있어서 그런가봐.,sad
원래도 좀 나이가 많아서 여기저기 아팠어.,sad
응. 보내고 왔어.,sad
다 같이 너무 슬퍼하고 있지.,sad
가족들도 너무 슬퍼해.,sad
"안 하려고, 장례는.",sad
응. 걱정해줘서 고마워.,sad
고마워. 힘 낼게.,sad
어제 저녁에 진짜 무서웠어.,fear
룸메랑 너무 자주 싸우게 돼.,anger
지금은 진정했어.,fear
방을 자꾸 안 치우잖아.,anger
룸메이트와 너무 자주 싸우게 돼.,anger
응 친구도 괜찮대.,fear
진짜 그래야겠어.,fear
한 시간은 기다렸는데 아직도 안오네.,anger
고등학교 동창이야.,anger
고등학교 동창이었어.,anger
그것도 생각 중이야.,anger
"어, 아 누가 그랬는 거야.",disgust
잊혀지지가 않는다.,disgust
에휴. 그래야겠어.,disgust
하. 나 또 면접에서 떨어졌어.,sad
몰라 그냥 걷고 있어.,sad
나 요즘 허리 아픈 거 같애.,sad
"몰라, 그냥 다 포기하고 싶어. 부모님한테 어떻게 말을 해야 될지도 잘 모르겠고.",sad
허리가 끊어질 거 같은데.,sad
"아니, 아직 안 먹었어.",sad
가야할 것 같은데 무서워.,sad
나 결국 헤어졌어.,sad
난 잘하는 게 없나봐.,sad
진짜 바쁜데 그래야지.,sad
"학교에서 만난 사이였지. 3년 동안 사귀었는데, 좀 허무하다.",sad
스트레칭 중요한 거 같애.,sad
잘 모르겠다. 계속 잘 만났던 거 같은데.,sad
두 달 정도?,sad
정일이가 소개시켜줘서 만났지.,sad
응. 위로해줘서 고마워.,sad
"월급 받으려면 2주 남았는데, 돈이 없어.",sad
룸메와 너무 자주 싸우게 돼.,anger
걔가 청소를 너무 안해.,anger
먹을 것도 다 떨어졌어. 어떡해.,sad
가족들도 지금 힘든 시긴데.,sad
응. 화 내봤어. 그런데 고치려고 하지를 않더라.,anger
나 결국 헤어졌어.,sad
아니. 그런 거 없었어.,sad
응. 고등학교 동창이야.,anger
갑자기 내가 일방적으로 차였어.,sad
괜히 맨날 우울한 기분이야.,sad
실험 망쳤어.,sad
몰라. 걍 퇴사하고 싶어.,sad
나 면접 또 떨어졌어.,sad
진짜 열심히 했는데.,sad
고마워. 지금 집이야.,sad
잘 모르겠어. 그냥 우울해.,sad
산책이나 나갈까?,sad
지금 밖이야.,sad
아니. 한 번도 싸운 적 없어.,sad
"룸메가 너무 더러워, 애가.",anger
아니. 뭔가 스트레스를 받으니까 허기도 안 느껴지네.,sad
한달 전에 말은 해봤지. 근데 애가 항상 원점이야.,anger
응. 옛날에도 더러운 건 알고 있었는데 이 정도일줄은 몰랐어.,anger
마음 같아선 그러고 싶다.,anger
나 내일 약속있는데 그대로 가도 될까?,fear
우리 아빠가 어제 또 다쳤어.,anger
강남인데 지금 코로나바이러스 확진자 나왔잖아.,fear
"지금 고민 중인데, 너무 오랜만에 만난 애라서.",fear
내가 잘하는 게 없는 것 같애.,sad
걔가 시간이 별로 없다그랬는데 너무 고민된다.,fear
한 번 말은 꺼내봐야겠다.,fear
응. 평소에 진짜 많이 드셔. 일주일에 다섯 번은 드실걸?,anger
지금 집에 가는 길인데 집에 가기 싫다.,sad
나 면접 또 떨어졌어.,sad
"약속이 있어서 친구를 기다리고 있는데, 아직 안왔어!",anger
지금 다시 연구실 나갔지.,sad
유기견 다큐멘터리 봤는데 진짜 책임감 없는 사람들 너무하더라.,disgust
"퇴근한 지 얼마나 됐다고, 회사에서 또 연락 왔어.",anger
당연히 해봤지. 근데 연락을 안받아.,anger
고마워. 부모님께는 아직 말씀 못 드렸어.,sad
나는 잘 하는게 없나봐.,sad
내가 봤을 땐 이거 습관이야.,anger
어리고 귀여울 땐 진짜 잘해주다가 나이 들고 병 들면 다 버리더라고.,disgust
어제 밤새 만든 기획안 완전 엉망이라고 혼났어.,sad
아픈지는 좀 됐지.,sad
유기견 수는 진짜 늘어나는데 유기견 보호 시설이 너무 열악하더라.,disgust
그러려고. 산책이라도 해야겠다.,sad
너무 열악해. 더럽고 관리도 안되고 운영하는데 돈이 많이 필요한가 봐.,disgust
기획안 가지고도 혼났는데 일찍 퇴근하고 싶진 않아. 더 일해야지.,sad
응. 끝났어. 보고서를 잘못 제출했거든.,sad
응. 그래서 더 화나.,disgust
아니야. 내가 못나서 그래.,sad
그러고 싶은데 그러면 다음에 더 힘드니까. 잘 모르겠다.,sad
난 잘하는 게 없나봐.,sad
우리아빠 어제 또 다쳤어.,anger
하. 나 결국 헤어졌어.,sad
집에서 쉬고 있어.,sad
또 술 마시고지. 지금은 입원해있어.,anger
"권태기가 왔다는데, 다른 사람이 생긴거 같애.",sad
몰라. 우리가 그렇게 조심해서 마시라 하는데 듣질 않아.,anger
같이 운동하다가 만났는데.,sad
일주일에 5일 이상은 마셔.,anger
"아니, 오히려 그 반댄데 그래서 더 힘들어.",sad
얘기를 했는데 안 들어.,anger
잘 모르겠다. 더 열심히 해야지.,sad
해피가 세상을 떠났어.,sad
부모님도 많이 힘드시지. 해피는 우리 가족이었는데.,sad
이제 두 달밖에 안 됐어.,sad
"아니, 얘기 안 했어.",sad
"원래도 아팠는데, 좀 괜찮아지는 것 같더니 결국엔 떠났어.",sad
아니 아직. 아직 해피가 떠났다는게 실감도 안나.,sad
아니. 밥도 아직 안 먹었어.,sad
고마워 정말. 위로가 된다.,sad
룸메랑 너무 자주 싸우게 돼!,anger
약속이 있어서 친구 기다리고 있는데 아직도 안 왔어.,anger
아니 음식물 쓰레기를 아무데나 버리잖아.,anger
한 시간도 넘었어. 추워 죽겠어.,anger
"아, 몰라! 진짜 퇴사하고 싶어!",anger
진짜 진지하게 고려중이야.,anger
맨날 이런다니까. 늦는 게 습관이야.,anger
약속이 있어서 친구를 기다리고 있는데 아직 안왔어.,anger
한 시간. 말이 되니? 한 시간을 기다렸어.,anger
"해도, 고쳐지지도 않아. 나도 한참 참았어.",anger
아니. 다른 사람들도 다 나처럼 힘들텐데 누구한테 얘기해.,anger
어. 걔가 원래 좀 많이 약속시간을 안 지키는 편이지. 그래도 이거 오늘은 좀 너무해. 한시간이라니.,anger
응. 말해봤는데 고쳐지질 않아.,anger
우리 아빠 어제 또 다쳤어!,anger
또 술먹고 다친거지 뭐. 진짜 화나죽겠어.,anger
나 면접 또 떨어졌어.,sad
그렇지. 지장 있었으면은 지금 이러고 못 있지.,anger
마포대교야. 집에 갈려고.,sad
어제 저녁에 진짜 무서웠어.,fear
응 일주일에 5일은 마시는 것 같아. 너무 스트레스 받아.,anger
응. 그래야지. 마지막 희망이었는데.,sad
"어제 저녁 먹는데 지진이 일어나가지고, 내 친구는 발목을 다쳤어. 나는 안 다쳤어.",fear
이야기해도 고치질 않아. 이제는 이야기 하고 싶은 마음도 안들어.,anger
너무 죄송해서 말 못 하겠어.,sad
입맛 없어.,sad
응 괜찮은 것 같아.,anger
내 친구는 발목을 좀 다쳤어.,fear
"그래야겠어. 지금은 괜찮은데, 나중에 아프면 병원 가려고.",fear
"응. 그 정도는 아닌데, 그래도 너무 화가 나.",anger
응. 응. 말해도 고쳐지질 않아. 엄청 자주 먹어.,anger
"당연하지. 수백 번이고 해봤는데, 듣지를 않아.",anger
진짜 그랬으면 좋겠다.,sad
상사가 내 기획안이 마음에 안 든대.,sad
밖에 날씨 추운데 나 감기걸렸어.,sad
응. 근데 연락도 안 받네.,anger
"기획안도 잘 못 쓰는데, 일찍 퇴근할 수 있을까?",sad
아니. 내 잘못인 것 같아.,sad
응. 그 친구 항상 그래.,anger
다들 엄청 힘들어 해.,sad
아직 못했어.,sad
좋은 곳으로 갔겠지?,sad
한 시간 째 기다리고 있어.,anger
걱정해줘서 고마워.,fear
했는데 답장을 안해.,anger
해피가 어제 세상을 떠났어.,sad
열 다섯 살이면 나이가 많지.,sad
응. 했는데 안고쳐지더라.,anger
엄마가 제일 힘들어하셔.,sad
응. 요즘은 강아지 장례도 있더라고.,sad
약속 기다리는 중인데 친구가 아직 안 왔어.,anger
나도 죽으면 무지개 다리에서 나 기다리고 있겠지?,sad
한참 기다렸어.,anger
"술 마시고 들어오시다가 계단에서 넘어지셨대. 병원 가셨어, 지금은.",anger
해봤지.,anger
"에휴. 말도 마. 맨날 드신다, 맨날.",anger
응. 근데 잘 안되네.,anger
당연히 해봤지!,anger
아빠가 또 다쳤어.,anger
약속 있어서 친구 기다리는데 아직도 안와!,anger
응 그대로 있어. 진짜 더러워.,disgust
벌써 한시간째야. 이게 말이 돼?,anger
연락도 안 돼. 걔 맨날 이런식이야.,anger
나 요즘 허리가 아픈 것 같아.,sad
매번 그래 매번! 너무 심해.,anger
몰라. 그냥 허리가 아파.,sad
응. 그 정도는 아니야.,anger
그래야겠다. 진정 좀 해야겠어.,disgust
응. 맨날 술이야.,anger
말씀 드리려구. 청소하시는 분도 짜증나겠다.,disgust
그랬는데 이제 다들 포기한 상태야.,anger
일이 너무 바빠서 못 간다니까?,sad
나 요즘 허리가 아파.,sad
그런가봐.,sad
아니. 내가 빨리 퇴사하고 싶다.,anger
아직 안 가봤어.,sad
"그러게. 아휴, 너무 힘들다.",anger
그렇긴 하지?,sad
나 요즘 허리가 아픈 거 같애.,sad
아니 회사에는 없지.,anger
알겠어. 고마워.,sad
내 생각엔 그게 맞는 거 같아.,sad
나 어떻게 살지? 망했어.,sad
아니. 일이 너무 바빠서 도저히 시간을 낼 수가 없네.,sad
회사에서 또 연락이 왔어.,anger
그런가? 하긴 내 친구도 허리디스크로 고생하더라.,sad
그만 두고 싶어. 너무 힘들어.,anger
응. 지금도 그대로 있어.,disgust
어제 저녁에 진짜 무서웠어.,fear
진짜 이제 다른 회사도 알아봐야겠어.,anger
저금통도 저번에 까서 현금도 없고 2만원이 전부야.,sad
응. 다치지는 않았어. 조금?,fear
반찬도 완전 조금 남았어.,sad
다들 바빠서 그냥 나 혼자 참는 중이야.,anger
많이 괜찮아졌어.,fear
나 어떻게 살지? 망했어.,sad
"응, 알겠어. 고마워.",anger
친구가 많이 다쳤어. 걱정돼.,fear
돈이 하나도 없어.,sad
"응, 아까전에 말씀 드렸어. 좀 있다가 치워주신대.",disgust
그래그래. 걱정해줘서 고마워.,fear
반찬 몇개 있긴 한데 이걸로 어떻게 2주를 버티냐.,sad
퇴근한지 얼마나 됐다고 지금 또 연락이 왔어.,anger
가족들은 나보다 더 힘들어.,sad
계속 이런 식이면 퇴사 생각 해야지.,anger
